 J105443; 1; Z060; Pink Small; 7; 44;; Unknown (R01); Unknown (C311)
 J171225; 4; X877 N766; Orange Bright; 9; 32; Black Hole; Unknown (R20); Unknown (C187)
 J124306; 4; X877 N766; Yellow; 10; 41;; Unknown (R20); Unknown (C187)
 J135908; 4; X877 N766; Yellow; 9; 53;; Unknown (R20); Unknown (C187)
 J124930; 4; X877 N766; Yellow Small; 9; 19;; Unknown (R20); Unknown (C187)
 J162632; 4; X877 N766; Orange radiant; 6; 31;; Unknown (R20); Unknown (C187)
 J155313; 4; X877 N766; Orange radiant; 6; 84;; Unknown (R20); Unknown (C187)
 J133936; 4; X877 N766; Orange; 10; 44;; Unknown (R20); Unknown (C189)
 J143140; 4; X877 N766; Yellow Small; 8; 45; Magnetar; Unknown (R20); Unknown (C189)
 J154833; 4; X877 N766; Orange radiant; 10; 24;; Unknown (R20); Unknown (C189)
 J101331; 4; X877 N766; Orange radiant; 11; 58;; Unknown (R20); Unknown (C189)
 J151359; 4; X877 N766; Yellow Small; 9; 68;; Unknown (R20); Unknown (C189)
 J150951; 4; X877 N766; Yellow Small; 9; 19; Black Hole; Unknown (R20); Unknown (C189)
 J140215; 4; X877 N766; Blue Bright; 8; 60;; Unknown (R20); Unknown (C189)
 J152421; 4; X877 N766; Orange; 8; 24;; Unknown (R20); Unknown (C190)
 J130554; 4; X877 N766; Red Giant; 8; 9;; Unknown (R20); Unknown (C190)
 J101604; 4; X877 N766; Blue Bright; 10; 78; Pulsar; Unknown (R20); Unknown (C190)
 J150320; 4; X877 N766; Blue Small; 9; 46; Black Hole; Unknown (R20); Unknown (C190)
 J134414; 4; X877 N766; Yellow Small; 11; 45;; Unknown (R20); Unknown (C190)
 J131113; 4; X877 N766; Red Giant; 5; 54;; Unknown (R20); Unknown (C190)
 J223312; 4; X877 N766; Yellow Small; 10; 85;; Unknown (R20); Unknown (C192)
 J212028; 4; X877 N766; Orange radiant; 9; 51; Magnetar; Unknown (R20); Unknown (C192)
 J164835; 4; X877 N766; Orange; 8; 75; Black Hole; Unknown (R20); Unknown (C192)
 J115528; 4; X877 N766; Pink; 4; 29;; Unknown (R20); Unknown (C192)
 J143922; 4; X877 N766; Orange; 7; 28;; Unknown (R20); Unknown (C192)
 J225234; 4; X877 N766; Blue; 9; 54;; Unknown (R20); Unknown (C192)
 J165645; 4; X877 N766; Orange; 9; 27; Pulsar; Unknown (R20); Unknown (C192)
 J212838; 4; C247 N766; White; 10; 59;; Unknown (R21); Unknown (C198)
 J111458; 4; C247 N766; White; 8; 72;; Unknown (R21); Unknown (C198)
 J115554; 4; C247 N766; Yellow Small; 9; 4;; Unknown (R21); Unknown (C198)
 J170445; 4; C247 N766; Blue; 10; 58;; Unknown (R21); Unknown (C198)
 J162831; 4; C247 N766; Yellow Small; 9; 65;; Unknown (R21); Unknown (C198)
 J124236; 4; C247 N766; Red Giant; 8; 47; Cataclysmic Variable; Unknown (R21); Unknown (C198)
 J101535; 4; C247 N766; Yellow Small; 11; 30; Pulsar; Unknown (R21); Unknown (C198)
 J113551; 4; C247 N766; Yellow; 6; 3; Red Giant; Unknown (R21); Unknown (C199)
 J162656; 4; C247 N766; Orange radiant; 10; 40;; Unknown (R21); Unknown (C199)
 J114530; 4; C247 N766; Yellow; 9; 74; Cataclysmic Variable; Unknown (R21); Unknown (C199)
 J155214; 4; C247 N766; Yellow Small; 7; 20;; Unknown (R21); Unknown (C199)
 J102336; 4; C247 N766; Pink Small; 8; 50;; Unknown (R21); Unknown (C199)
 J123352; 4; C247 N766; Yellow; 7; 79;; Unknown (R21); Unknown (C199)
 J224754; 4; C247 N766; Red Giant; 11; 64;; Unknown (R21); Unknown (C202)
 J140246; 4; C247 N766; Yellow Small; 1; 17;; Unknown (R21); Unknown (C202)
 J214440; 4; C247 N766; Red Giant; 6; 57;; Unknown (R21); Unknown (C202)
 J144135; 4; C247 N766; Orange Bright; 8; 50; Black Hole; Unknown (R21); Unknown (C202)
 J151021; 4; C247 N766; Pink Small; 10; 46;; Unknown (R21); Unknown (C202)
 J114133; 4; C247 N766; Yellow Small; 8; 17; Magnetar; Unknown (R21); Unknown (C202)
 J141740; 4; C247 N766; Red Giant; 11; 46; Pulsar; Unknown (R21); Unknown (C212)
 J101315; 4; C247 N766; Orange radiant; 9; 60;; Unknown (R21); Unknown (C212)
 J123345; 4; C247 N766; Orange radiant; 7; 59;; Unknown (R21); Unknown (C212)
 J105621; 4; C247 N766; Yellow Small; 11; 45; Red Giant; Unknown (R21); Unknown (C212)
 J113813; 4; C247 N766; Pink; 4; 34; Pulsar; Unknown (R21); Unknown (C212)
 J135807; 4; C247 N766; Pink Small; 9; 17;; Unknown (R21); Unknown (C212)
 J113152; 4; H900 N766; Orange; 7; 31;; Unknown (R22); Unknown (C217)
 J113453; 4; H900 N766; Blue Bright; 8; 43; Magnetar; Unknown (R22); Unknown (C217)
 J144845; 4; H900 N766; Orange Bright; 11; 36;; Unknown (R22); Unknown (C217)
 J140053; 4; H900 N766; White Dwarf; 3; 37;; Unknown (R22); Unknown (C217)
 J151416; 4; H900 N766; Yellow Small; 9; 34; Wolf-Rayet Star; Unknown (R22); Unknown (C217)
 J100846; 4; H900 N766; Yellow; 8; 59; Black Hole; Unknown (R22); Unknown (C217)
 J100346; 4; H900 N766; Yellow; 7; 48;; Unknown (R22); Unknown (C221)
 J143557; 4; H900 N766; Orange radiant; 7; 46; Red Giant; Unknown (R22); Unknown (C221)
 J130001; 4; H900 N766; Pink; 8; 64;; Unknown (R22); Unknown (C221)
 J101142; 4; H900 N766; Red Giant; 7; 8;; Unknown (R22); Unknown (C221)
 J155002; 4; H900 N766; Yellow; 9; 49;; Unknown (R22); Unknown (C221)
 J154232; 4; H900 N766; Yellow; 9; 49;; Unknown (R22); Unknown (C221)
 J132532; 4; H900 N766; Blue; 9; 73;; Unknown (R22); Unknown (C224)
 J114031; 4; H900 N766; Orange Bright; 6; 60;; Unknown (R22); Unknown (C224)
 J120316; 4; H900 N766; Yellow; 10; 34; Cataclysmic Variable; Unknown (R22); Unknown (C224)
 J151610; 4; H900 N766; Red Giant; 8; 22; Red Giant; Unknown (R22); Unknown (C224)
 J145937; 4; H900 N766; Yellow Small; 6; 4; Black Hole; Unknown (R22); Unknown (C224)
 J122056; 4; H900 N766; Orange Bright; 8; 48; Red Giant; Unknown (R22); Unknown (C224)
 J170127; 4; H900 N766; Pink; 2; 24;; Unknown (R22); Unknown (C224)
 J141647; 4; C247 N766; Orange radiant; 7; 46;; Unknown (R23); Unknown (C228)
 J101957; 4; C247 N766; Orange radiant; 6; 54; Wolf-Rayet Star; Unknown (R23); Unknown (C228)
 J223808; 4; C247 N766; Pink; 11; 38; Black Hole; Unknown (R23); Unknown (C228)
 J105433; 4; C247 N766; Orange Bright; 10; 68;; Unknown (R23); Unknown (C228)
 J153722; 4; C247 N766; Orange Bright; 5; 27; Magnetar; Unknown (R23); Unknown (C228)
 J105348; 4; C247 N766; Orange Bright; 6; 23; Red Giant; Unknown (R23); Unknown (C228)
 J230257; 5; D364; Pink; 5; 45;; Unknown (R24); Unknown (C234)
 J223018; 5; D364; Orange radiant; 11; 48; Pulsar; Unknown (R24); Unknown (C234)
 J135449; 5; D364; Pink; 12; 13; Black Hole; Unknown (R24); Unknown (C234)
 J133537; 5; D364; Blue Small; 8; 40; Black Hole; Unknown (R24); Unknown (C234)
 J155714; 5; D364; Red Giant; 8; 41; Pulsar; Unknown (R24); Unknown (C234)
 J112325; 5; D364; Yellow Small; 9; 49; Cataclysmic Variable; Unknown (R24); Unknown (C234)
 J150606; 5; D364; Pink Small; 8; 35; Wolf-Rayet Star; Unknown (R24); Unknown (C234)
 J110550; 5; D364; Orange; 9; 33;; Unknown (R24); Unknown (C234)
 J205659; 5; D364; Red Giant; 10; 47; Red Giant; Unknown (R24); Unknown (C234)
 J100120; 5; D364; Blue; 8; 30;; Unknown (R24); Unknown (C235)
 J151057; 5; D364; Orange; 11; 28;; Unknown (R24); Unknown (C235)
 J213245; 5; D364; Pink; 11; 78; Wolf-Rayet Star; Unknown (R24); Unknown (C235)
 J121230; 5; D364; Yellow; 10; 81;; Unknown (R24); Unknown (C235)
 J145203; 5; D364; Blue; 10; 53; Wolf-Rayet Star; Unknown (R24); Unknown (C235)
 J111106; 5; D364; Orange Bright; 9; 6; Cataclysmic Variable; Unknown (R24); Unknown (C235)
 J222834; 5; D364; Yellow Small; 5; 42;; Unknown (R24); Unknown (C235)
 J103727; 5; D364; White; 9; 73;; Unknown (R24); Unknown (C237)
 J152739; 5; D364; Blue; 8; 65;; Unknown (R24); Unknown (C237)
 J140717; 5; D364; Pink; 10; 88;; Unknown (R24); Unknown (C237)
 J205205; 5; D364; Orange; 7; 19;; Unknown (R24); Unknown (C237)
 J130026; 5; D364; Blue Small; 9; 39; Pulsar; Unknown (R24); Unknown (C237)
 J151035; 5; D364; Pink; 5; 10;; Unknown (R24); Unknown (C237)
 J112603; 5; D364; Orange; 12; 51; Black Hole; Unknown (R24); Unknown (C237)
 J151811; 5; D364; Yellow; 8; 46; Black Hole; Unknown (R24); Unknown (C238)
 J105441; 5; D364; Orange; 9; 85;; Unknown (R24); Unknown (C238)
 J124949; 5; D364; Red Giant; 2; 28; Black Hole; Unknown (R24); Unknown (C238)
 J130711; 5; D364; Yellow Small; 11; 50; Black Hole; Unknown (R24); Unknown (C238)
 J131948; 5; D364; Orange; 12; 58;; Unknown (R24); Unknown (C238)
 J132814; 5; D364; Orange; 7; 55; Wolf-Rayet Star; Unknown (R24); Unknown (C238)
 J213734; 5; D364; Blue Small; 8; 50;; Unknown (R24); Unknown (C238)
 J104859; 6; G024; Red Giant; 5; 31; Pulsar; Unknown (R30); Unknown (C297)
 J155838; 6; G024; White; 8; 12;; Unknown (R30); Unknown (C297)
 J164745; 6; G024; Orange Bright; 8; 22; Cataclysmic Variable; Unknown (R30); Unknown (C297)
 J135504; 6; G024; Orange Bright; 9; 51; Red Giant; Unknown (R30); Unknown (C297)
 J115923; 6; G024; Orange; 13; 85;; Unknown (R30); Unknown (C297)
 J151325; 6; G024; Pink Small; 7; 45; Pulsar; Unknown (R30); Unknown (C297)
 J105705; 6; G024; Pink; 5; 10; Cataclysmic Variable; Unknown (R30); Unknown (C297)
 J170158; 5; D364; Red Giant; 9; 17; Black Hole; Unknown (R24); Unknown (C238)
J160650; 3; U210; Orange radiant; 8; 54;; Unknown (R09); Unknown (C076)
 J114342; 3; U210; Red Giant; 8; 7; Black Hole; Unknown (R09); Unknown (C076)
 J152031; 3; U210; Orange Bright; 9; 40;; Unknown (R09); Unknown (C076)
 J113629; 3; U210; Red Giant; 4; 41;; Unknown (R09); Unknown (C076)
 J220301; 3; U210; Yellow; 5; 10;; Unknown (R09); Unknown (C076)
 J102057; 3; U210; Pink; 8; 33; Pulsar; Unknown (R09); Unknown (C076)
 J124753; 3; U210; Blue Bright; 12; 70; Magnetar; Unknown (R09); Unknown (C077)
 J114225; 3; U210; Orange radiant; 7; 74;; Unknown (R09); Unknown (C077)
 J105002; 3; U210; Pink; 10; 63;; Unknown (R09); Unknown (C077)
 J111218; 3; U210; Orange radiant; 10; 45;; Unknown (R09); Unknown (C077)
 J111634; 3; U210; Blue Small; 9; 45;; Unknown (R09); Unknown (C077)
 J105007; 3; U210; Orange Bright; 6; 31; Magnetar; Unknown (R09); Unknown (C077)
 J205027; 3; U210; Pink Small; 9; 68;; Unknown (R09); Unknown (C078)
 J111355; 3; U210; Orange radiant; 6; 70;; Unknown (R09); Unknown (C078)
 J101012; 3; U210; Orange; 10; 58; Red Giant; Unknown (R09); Unknown (C078)
 J161338; 3; U210; Yellow Small; 7; 13;; Unknown (R09); Unknown (C078)
 J170002; 3; U210; Pink; 8; 34;; Unknown (R09); Unknown (C078)
 J104654; 3; U210; Pink; 9; 56;; Unknown (R09); Unknown (C078)
 J124329; 3; U210; Orange radiant; 8; 44; Red Giant; Unknown (R09); Unknown (C078)
 J114648; 3; U210; Orange Bright; 7; 19; Pulsar; Unknown (R09); Unknown (C079)
 J131228; 3; U210; Orange radiant; 7; 38; Red Giant; Unknown (R09); Unknown (C079)
 J110448; 3; U210; White; 11; 45;; Unknown (R09); Unknown (C079)
 J144621; 3; U210; Red Giant; 3; 52; Red Giant; Unknown (R09); Unknown (C079)
 J153104; 3; U210; White; 9; 22;; Unknown (R09); Unknown (C079)
 J100932; 3; U210; Pink; 8; 17;; Unknown (R09); Unknown (C079)
 J114048; 3; U210; Orange Bright; 6; 17;; Unknown (R09); Unknown (C080)
 J115706; 3; U210; Blue; 8; 62;; Unknown (R09); Unknown (C080)
 J123230; 3; U210; Blue; 9; 46; Magnetar; Unknown (R09); Unknown (C080)
 J152218; 3; U210; Orange Bright; 5; 11; Magnetar; Unknown (R09); Unknown (C080)
 J123303; 3; U210; Pink Small; 9; 51; Cataclysmic Variable; Unknown (R09); Unknown (C080)
 J102856; 3; U210; Pink Small; 7; 46; Red Giant; Unknown (R09); Unknown (C080)
 J151900; 3; U210; Pink Small; 10; 19; Cataclysmic Variable; Unknown (R09); Unknown (C080)
 J124646; 3; U210; Pink; 8; 55;; Unknown (R09); Unknown (C081)
 J153528; 3; U210; White Dwarf; 9; 60;; Unknown (R09); Unknown (C081)
 J112850; 3; U210; Orange radiant; 8; 44;; Unknown (R09); Unknown (C081)
 J102257; 3; U210; Red Giant; 7; 20;; Unknown (R09); Unknown (C081)
 J142414; 3; U210; Pink Small; 9; 54; Black Hole; Unknown (R09); Unknown (C081)
 J165803; 3; U210; Orange radiant; 3; 29; Wolf-Rayet Star; Unknown (R09); Unknown (C081)
 J115918; 3; U210; Yellow Small; 8; 51; Pulsar; Unknown (R09); Unknown (C082)
 J222104; 3; U210; Yellow; 7; 19;; Unknown (R09); Unknown (C082)
 J124203; 3; U210; Yellow Small; 6; 38;; Unknown (R09); Unknown (C082)
 J112608; 3; U210; Yellow Small; 9; 44;; Unknown (R09); Unknown (C082)
 J161657; 3; U210; Pink Small; 12; 32;; Unknown (R09); Unknown (C082)
 J111805; 3; U210; Blue; 8; 72; Wolf-Rayet Star; Unknown (R09); Unknown (C082)
 J113451; 3; U210; Blue; 7; 89;; Unknown (R09); Unknown (C083)
 J141007; 3; U210; Orange radiant; 8; 46; Wolf-Rayet Star; Unknown (R09); Unknown (C083)
 J164034; 3; U210; Orange radiant; 6; 58;; Unknown (R09); Unknown (C083)
 J101750; 3; U210; Pink Small; 11; 88;; Unknown (R09); Unknown (C083)
 J165001; 3; U210; Orange radiant; 11; 45; Red Giant; Unknown (R09); Unknown (C083)
 J111619; 3; U210; Orange; 9; 55;; Unknown (R09); Unknown (C083)
 J140521; 3; U210; Orange; 9; 26; Wolf-Rayet Star; Unknown (R09); Unknown (C084)
 J140752; 3; U210; Pink Small; 11; 37; Cataclysmic Variable; Unknown (R09); Unknown (C084)
 J143447; 3; U210; Blue Bright; 10; 77;; Unknown (R09); Unknown (C084)
 J142018; 3; U210; Orange Bright; 8; 71;; Unknown (R09); Unknown (C084)
 J105102; 3; U210; Yellow; 7; 57; Wolf-Rayet Star; Unknown (R09); Unknown (C084)
 J124630; 3; U210; Orange radiant; 7; 22;; Unknown (R09); Unknown (C084)
 J165302; 3; U210; Pink Small; 10; 21; Magnetar; Unknown (R10); Unknown (C085)
 J143916; 3; U210; Yellow; 7; 60;; Unknown (R10); Unknown (C085)
 J221414; 3; U210; Pink; 9; 49;; Unknown (R10); Unknown (C085)
 J153903; 3; U210; Yellow Small; 13; 42;; Unknown (R10); Unknown (C085)
 J103955; 3; U210; Orange radiant; 8; 77; Cataclysmic Variable; Unknown (R10); Unknown (C085)
 J210952; 3; U210; Red Giant; 7; 6;; Unknown (R10); Unknown (C085)
 J134102; 3; U210; Yellow; 6; 3;; Unknown (R10); Unknown (C086)
 J140050; 3; U210; Pink Small; 7; 11; Red Giant; Unknown (R10); Unknown (C086)
 J131757; 3; U210; Orange radiant; 6; 40;; Unknown (R10); Unknown (C086)
 J140341; 3; U210; Orange radiant; 4; 36;; Unknown (R10); Unknown (C086)
 J111856; 3; U210; White; 7; 8;; Unknown (R10); Unknown (C086)
 J102407; 3; U210; Red Giant; 10; 47;; Unknown (R10); Unknown (C086)
 J151341; 3; U210; Yellow; 7; 57;; Unknown (R10); Unknown (C086)
 J110706; 3; U210; Pink; 10; 61;; Unknown (R10); Unknown (C087)
 J133651; 3; U210; Orange Bright; 9; 33;; Unknown (R10); Unknown (C087)
 J123452; 3; U210; Orange radiant; 13; 57; Cataclysmic Variable; Unknown (R10); Unknown (C087)
 J102143; 3; U210; Orange; 8; 55; Wolf-Rayet Star; Unknown (R10); Unknown (C087)
 J220832; 3; U210; Yellow; 11; 72; Pulsar; Unknown (R10); Unknown (C087)
 J160847; 3; U210; Orange; 10; 29;; Unknown (R10); Unknown (C087)
 J125949; 3; U210; Yellow; 11; 26;; Unknown (R10); Unknown (C088)
 J164250; 3; U210; Orange radiant; 8; 76; Black Hole; Unknown (R10); Unknown (C088)
 J212329; 3; U210; Yellow Small; 10; 71;; Unknown (R10); Unknown (C088)
 J112905; 3; U210; White Dwarf; 10; 31;; Unknown (R10); Unknown (C088)
 J144447; 3; U210; Yellow Small; 11; 42;; Unknown (R10); Unknown (C088)
 J113530; 3; U210; Orange Bright; 7; 16; Magnetar; Unknown (R10); Unknown (C088)
 J103604; 3; U210; Orange radiant; 5; 26; Wolf-Rayet Star; Unknown (R10); Unknown (C088)
 J142038; 3; U210; Pink Small; 9; 52; Pulsar; Unknown (R10); Unknown (C089)
 J130403; 3; U210; Orange Bright; 6; 10;; Unknown (R10); Unknown (C089)
 J132525; 3; U210; Pink Small; 7; 11;; Unknown (R10); Unknown (C089)
 J103653; 3; U210; Pink; 10; 66;; Unknown (R10); Unknown (C089)
 J154642; 3; U210; Yellow Small; 7; 20; Black Hole; Unknown (R10); Unknown (C089)
 J163526; 3; U210; Blue; 11; 37;; Unknown (R10); Unknown (C089)
 J212713; 3; U210; Red Giant; 9; 46;; Unknown (R10); Unknown (C090)
 J132635; 3; U210; Orange radiant; 7; 31;; Unknown (R10); Unknown (C090)
 J114330; 3; U210; Orange; 12; 22;; Unknown (R10); Unknown (C090)
 J224926; 3; U210; Yellow Small; 8; 59;; Unknown (R10); Unknown (C090)
 J113619; 3; U210; Red Giant; 2; 28; Black Hole; Unknown (R10); Unknown (C090)
 J214654; 3; U210; Yellow; 9; 64;; Unknown (R10); Unknown (C090)
 J151429; 3; U210; Orange radiant; 8; 46;; Unknown (R10); Unknown (C091)
 J111214; 3; U210; Blue; 7; 10;; Unknown (R10); Unknown (C091)
 J113420; 3; U210; Yellow Small; 5; 43;; Unknown (R10); Unknown (C091)
 J135526; 3; U210; Orange radiant; 11; 64;; Unknown (R10); Unknown (C091)
 J164116; 3; U210; Orange Bright; 8; 22;; Unknown (R10); Unknown (C091)
 J214227; 3; U210; Yellow; 11; 26; Pulsar; Unknown (R10); Unknown (C091)
 J164342; 3; U210; Yellow; 13; 93; Wolf-Rayet Star; Unknown (R10); Unknown (C092)
 J151538; 3; U210; Red Giant; 8; 6; Magnetar; Unknown (R10); Unknown (C092)
 J125938; 3; U210; Pink; 8; 27;; Unknown (R10); Unknown (C092)
 J165806; 3; U210; Blue Bright; 10; 65; Wolf-Rayet Star; Unknown (R10); Unknown (C092)
 J122803; 3; U210; Orange Bright; 9; 40; Cataclysmic Variable; Unknown (R10); Unknown (C092)
 J113243; 3; U210; Orange radiant; 5; 58;; Unknown (R10); Unknown (C092)
 J134022; 3; U210; Orange; 9; 37; Cataclysmic Variable; Unknown (R10); Unknown (C092)
 J152143; 3; U210; Pink Small; 12; 35;; Unknown (R11); Unknown (C093)
 J170717; 3; U210; Orange Bright; 7; 9;; Unknown (R11); Unknown (C093)
 J121452; 3; U210; Yellow Small; 8; 47;; Unknown (R11); Unknown (C093)
 J124126; 3; U210; Orange radiant; 9; 30;; Unknown (R11); Unknown (C093)
 J173230; 3; U210; Blue; 7; 6;; Unknown (R11); Unknown (C093)
 J164457; 3; U210; Pink; 8; 17;; Unknown (R11); Unknown (C093)
 J112944; 3; U210; Orange; 10; 53;; Unknown (R11); Unknown (C093)
 J115253; 3; U210; Yellow; 8; 81;; Unknown (R11); Unknown (C094)
 J100118; 3; U210; White; 8; 39; Magnetar; Unknown (R11); Unknown (C094)
 J100620; 3; U210; Orange; 7; 51;; Unknown (R11); Unknown (C094)
 J145916; 3; U210; White Dwarf; 11; 12; Pulsar; Unknown (R11); Unknown (C094)
 J223207; 3; U210; Yellow Small; 11; 44;; Unknown (R11); Unknown (C094)
 J144646; 3; U210; Yellow Small; 11; 85;; Unknown (R11); Unknown (C094)
 J142520; 3; U210; Blue; 13; 31; Magnetar; Unknown (R11); Unknown (C094)
 J230226; 3; U210; Blue Small; 11; 65;; Unknown (R11); Unknown (C095)
 J150704; 3; U210; Orange Bright; 8; 60;; Unknown (R11); Unknown (C095)
 J225524; 3; U210; Blue; 8; 25; Black Hole; Unknown (R11); Unknown (C095)
 J133234; 3; U210; Yellow Small; 10; 21;; Unknown (R11); Unknown (C095)
 J125833; 3; U210; Yellow Small; 13; 42;; Unknown (R11); Unknown (C095)
 J104459; 3; U210; Blue Bright; 9; 51; Red Giant; Unknown (R11); Unknown (C095)
 J164713; 3; U210; Orange radiant; 8; 46;; Unknown (R11); Unknown (C096)
 J135355; 3; U210; Pink; 10; 32;; Unknown (R11); Unknown (C096)
 J220838; 3; U210; Yellow; 9; 22;; Unknown (R11); Unknown (C096)
 J225949; 3; U210; Pink Small; 6; 65;; Unknown (R11); Unknown (C096)
 J130535; 3; U210; White; 9; 37; Red Giant; Unknown (R11); Unknown (C096)
 J111255; 3; U210; Yellow Small; 6; 91;; Unknown (R11); Unknown (C096)
 J121628; 3; U210; Yellow Small; 8; 2;; Unknown (R11); Unknown (C096)
 J221117; 3; U210; Yellow Small; 5; 24;; Unknown (R11); Unknown (C097)
 J115015; 3; U210; Yellow Small; 7; 8; Cataclysmic Variable; Unknown (R11); Unknown (C097)
 J172751; 3; U210; White; 11; 72; Red Giant; Unknown (R11); Unknown (C097)
 J134301; 3; U210; Orange radiant; 9; 58; Pulsar; Unknown (R11); Unknown (C097)
 J104351; 3; U210; Yellow; 9; 41;; Unknown (R11); Unknown (C097)
 J144408; 3; U210; Orange radiant; 9; 45; Black Hole; Unknown (R11); Unknown (C097)
 J220950; 3; U210; Blue; 7; 34;; Unknown (R11); Unknown (C098)
 J165815; 3; U210; Orange Bright; 14; 48;; Unknown (R11); Unknown (C098)
 J120452; 3; U210; Red Giant; 11; 74;; Unknown (R11); Unknown (C098)
 J142026; 3; U210; Orange Bright; 8; 57; Magnetar; Unknown (R11); Unknown (C098)
 J111031; 3; U210; Yellow; 9; 42; Magnetar; Unknown (R11); Unknown (C098)
 J130116; 3; U210; Orange; 8; 44; Magnetar; Unknown (R11); Unknown (C098)
 J111309; 3; U210; Pink; 8; 57;; Unknown (R11); Unknown (C099)
 J122213; 3; U210; Orange; 9; 70;; Unknown (R11); Unknown (C099)
 J170740; 3; U210; Orange radiant; 7; 60;; Unknown (R11); Unknown (C099)
 J113543; 3; U210; Pink Small; 7; 11;; Unknown (R11); Unknown (C099)
 J170817; 3; U210; Orange radiant; 9; 64; Cataclysmic Variable; Unknown (R11); Unknown (C099)
 J123405; 3; U210; Yellow; 7; 7;; Unknown (R11); Unknown (C099)
 J125741; 3; U210; Orange radiant; 8; 65;; Unknown (R11); Unknown (C099)
 J114627; 3; U210; Red Giant; 8; 27; Wolf-Rayet Star; Unknown (R11); Unknown (C100)
 J155117; 3; U210; Yellow Small; 7; 28;; Unknown (R11); Unknown (C100)
 J165118; 3; U210; Orange Bright; 7; 54;; Unknown (R11); Unknown (C100)
 J141004; 3; U210; Blue; 7; 34;; Unknown (R11); Unknown (C100)
 J174317; 3; U210; Pink; 5; 7; Wolf-Rayet Star; Unknown (R11); Unknown (C100)
 J145040; 3; U210; Yellow; 6; 38;; Unknown (R11); Unknown (C100)
 J171549; 3; U210; Orange; 8; 24; Pulsar; Unknown (R11); Unknown (C100)
 J100009; 3; U210; White; 7; 44; Pulsar; Unknown (R11); Unknown (C101)
 J124257; 3; U210; Orange radiant; 8; 57;; Unknown (R11); Unknown (C101)
 J154530; 3; U210; Pink; 9; 56;; Unknown (R11); Unknown (C101)
 J152636; 3; U210; Orange Bright; 12; 25;; Unknown (R11); Unknown (C101)
 J100728; 3; U210; Orange radiant; 9; 52; Red Giant; Unknown (R11); Unknown (C101)
 J115504; 3; U210; Red Giant; 6; 25;; Unknown (R11); Unknown (C101)
 J104905; 3; U210; Yellow Small; 9; 70;; Unknown (R11); Unknown (C102)
 J125149; 3; U210; Orange; 8; 59; Pulsar; Unknown (R11); Unknown (C102)
 J172743; 3; U210; Orange Bright; 9; 25;; Unknown (R11); Unknown (C102)
 J111421; 3; U210; Pink; 5; 45; Cataclysmic Variable; Unknown (R11); Unknown (C102)
 J152146; 3; U210; White Dwarf; 10; 29; Pulsar; Unknown (R11); Unknown (C102)
 J111603; 3; U210; Yellow Small; 9; 65;; Unknown (R11); Unknown (C102)
 J114127; 3; U210; Orange Bright; 7; 5; Black Hole; Unknown (R11); Unknown (C103)
 J113923; 3; U210; Orange radiant; 8; 62;; Unknown (R11); Unknown (C103)
 J123837; 3; U210; Orange radiant; 8; 71;; Unknown (R11); Unknown (C103)
 J125049; 3; U210; Orange radiant; 9; 39;; Unknown (R11); Unknown (C103)
 J161455; 3; U210; Yellow Small; 11; 22; Pulsar; Unknown (R11); Unknown (C103)
 J124715; 3; U210; Yellow; 9; 22; Black Hole; Unknown (R11); Unknown (C103)
 J124813; 3; U210; Orange radiant; 6; 36; Black Hole; Unknown (R11); Unknown (C103)
 J120945; 3; U210; Orange Bright; 5; 6; Pulsar; Unknown (R11); Unknown (C104)
 J155541; 3; U210; Red Giant; 10; 29;; Unknown (R11); Unknown (C104)
 J105017; 3; U210; Blue; 9; 36; Pulsar; Unknown (R11); Unknown (C104)
 J154900; 3; U210; Orange Bright; 10; 54;; Unknown (R11); Unknown (C104)
 J164951; 3; U210; Pink Small; 9; 12;; Unknown (R11); Unknown (C104)
 J162459; 3; U210; Pink Small; 8; 3;; Unknown (R11); Unknown (C104)
 J141832; 3; U210; Yellow Small; 10; 17;; Unknown (R11); Unknown (C104)
 J115136; 3; U210; Blue; 10; 71;; Unknown (R11); Unknown (C105)
 J112854; 3; U210; Blue; 8; 65; Red Giant; Unknown (R11); Unknown (C105)
 J222222; 3; U210; Yellow Small; 7; 88;; Unknown (R11); Unknown (C105)
 J124654; 3; U210; Orange radiant; 6; 53; Wolf-Rayet Star; Unknown (R11); Unknown (C105)
 J132750; 3; U210; Pink Small; 9; 46;; Unknown (R11); Unknown (C105)
 J170511; 3; U210; White; 6; 30;; Unknown (R11); Unknown (C105)
 J155852; 3; U210; Red Giant; 9; 33;; Unknown (R11); Unknown (C105)
 J121856; 3; D845; Yellow Small; 8; 25;; Unknown (R12); Unknown (C106)
 J131025; 3; D845; Red Giant; 9; 16;; Unknown (R12); Unknown (C106)
 J122854; 3; D845; Yellow; 7; 31; Red Giant; Unknown (R12); Unknown (C106)
 J132222; 3; D845; Yellow; 9; 65;; Unknown (R12); Unknown (C106)
 J203753; 3; D845; Orange Bright; 13; 72;; Unknown (R12); Unknown (C106)
 J130835; 3; D845; Blue; 9; 65;; Unknown (R12); Unknown (C106)
 J134123; 3; D845; Blue Bright; 9; 37; Cataclysmic Variable; Unknown (R12); Unknown (C106)
 J133857; 3; D845; Pink Small; 9; 30; Wolf-Rayet Star; Unknown (R12); Unknown (C107)
 J171813; 3; D845; Pink Small; 4; 29; Magnetar; Unknown (R12); Unknown (C107)
